age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,high_income
age2,Private,somecollege,average-education,Never-married,Farming-fishing,Not-in-family,White,Male,full-time,Ireland,<=50K
age2,Private,somecollege,average-education,Divorced,Other-service,Not-in-family,White,Male,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age4,Private,pre-college,some-education,Never-married,Transport-moving,Own-child,White,Male,part-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age3,State-gov,somecollege,average-education,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Own-child,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Other-service,Not-in-family,White,Male,part-time,United-States,<=50K
age5,Private,somecollege,average-education,Widowed,Prof-specialty,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Machine-op-inspct,Own-child,Black,Female,full-time,Dominican-Republic,<=50K
age2,Private,prof_doctorate,high-education,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,extra-time,United-States,<=50K
age3,State-gov,somecollege,average-education,Divorced,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Adm-clerical,Not-in-family,White,Male,extra-time,United-States,<=50K
age5,Private,prof_doctorate,high-education,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,Germany,>50K
age2,Private,college,high-education,Never-married,Adm-clerical,Not-in-family,Black,Female,full-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Divorced,Other-service,Not-in-family,White,Female,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,Guatemala,<=50K
age4,Local-gov,college,high-education,Married-civ-spouse,Prof-specialty,Wife,White,Female,part-time,United-States,>50K
age2,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,excessive-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Tech-support,Unmarried,White,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Sales,Own-child,White,Male,part-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Exec-managerial,Wife,White,Female,full-time,United-States,>50K
age5,Local-gov,college,high-education,Divorced,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Craft-repair,Unmarried,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-spouse-absent,Sales,Own-child,Other,Female,part-time,Dominican-Republic,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Private,pre-college,some-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
age6,Self-emp-not-inc,pre-college,low-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,>50K
age3,Self-emp-inc,college,high-education,Divorced,Sales,Unmarried,White,Female,full-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Prof-specialty,Wife,White,Female,full-time,United-States,>50K
age2,Local-gov,college,high-education,Never-married,Adm-clerical,Not-in-family,Black,Female,extra-time,United-States,<=50K
age3,Local-gov,somecollege,average-education,Divorced,Exec-managerial,Own-child,White,Male,full-time,United-States,<=50K
age2,Private,pre-college,some-education,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,full-time,India,<=50K
age3,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,<=50K
age5,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Exec-managerial,Not-in-family,White,Male,full-time,United-States,<=50K
age7,Private,college,high-education,Divorced,Prof-specialty,Not-in-family,White,Female,part-time,Germany,<=50K
age4,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age5,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
age6,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,part-time,United-States,<=50K
age4,Federal-gov,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age7,Private,somecollege,average-education,Widowed,Sales,Unmarried,White,Female,extra-time,United-States,>50K
age4,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Farming-fishing,Unmarried,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Own-child,White,Female,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Sales,Own-child,White,Female,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Own-child,Black,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age6,Private,pre-college,some-education,Never-married,Farming-fishing,Not-in-family,White,Male,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Not-in-family,White,Male,part-time,United-States,<=50K
age2,Private,pre-college,low-education,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,full-time,Mexico,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age7,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,part-time,United-States,>50K
age4,Private,somecollege,average-education,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,United-States,>50K
age1,Local-gov,college,high-education,Never-married,Prof-specialty,Not-in-family,Black,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,>50K
age8,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
age3,Private,pre-college,some-education,Never-married,Transport-moving,Not-in-family,Black,Female,full-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,extra-time,United-States,>50K
age5,State-gov,somecollege,average-education,Separated,Other-service,Not-in-family,White,Female,part-time,United-States,<=50K
age4,Private,somecollege,average-education,Widowed,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,Black,Male,extra-time,United-States,>50K
age7,Self-emp-inc,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,part-time,United-States,>50K
age5,Private,somecollege,average-education,Widowed,Farming-fishing,Not-in-family,White,Male,excessive-time,United-States,>50K
age1,Private,college,high-education,Widowed,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
age6,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,full-time,Italy,>50K
age1,Private,somecollege,average-education,Never-married,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Local-gov,somecollege,average-education,Separated,Craft-repair,Not-in-family,White,Male,extra-time,United-States,<=50K
age6,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age5,Private,somecollege,average-education,Never-married,Adm-clerical,Other-relative,White,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Other-service,Unmarried,Black,Female,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age3,Private,pre-college,some-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
age8,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,part-time,United-States,>50K
age3,Self-emp-not-inc,pre-college,low-education,Married-civ-spouse,Other-service,Wife,White,Female,part-time,Mexico,<=50K
age3,Private,pre-college,some-education,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Tech-support,Wife,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,extra-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Exec-managerial,Not-in-family,White,Male,extra-time,United-States,>50K
age3,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age3,State-gov,college,high-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,>50K
age4,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age5,Self-emp-not-inc,pre-college,low-education,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Female,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age3,Private,college,high-education,Divorced,Adm-clerical,Unmarried,White,Male,full-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,White,Female,full-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Handlers-cleaners,Own-child,White,Male,part-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Other-service,Other-relative,Other,Female,part-time,Ecuador,<=50K
age3,Private,somecollege,average-education,Divorced,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
age6,Private,prof_doctorate,high-education,Widowed,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
age2,Self-emp-not-inc,college,high-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,excessive-time,United-States,>50K
age2,Self-emp-inc,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age2,State-gov,somecollege,average-education,Never-married,Tech-support,Unmarried,Black,Female,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age3,Local-gov,somecollege,average-education,Divorced,Protective-serv,Unmarried,White,Female,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age7,Private,pre-college,some-education,Married-civ-spouse,Other-service,Husband,White,Male,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Exec-managerial,Not-in-family,White,Male,extra-time,United-States,<=50K
age7,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age1,Private,pre-college,some-education,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,full-time,United-States,<=50K
age1,Private,pre-college,low-education,Never-married,Sales,Own-child,White,Male,part-time,United-States,<=50K
age2,Self-emp-not-inc,college,high-education,Divorced,Exec-managerial,Unmarried,Black,Female,part-time,United-States,<=50K
age7,Private,pre-college,some-education,Widowed,Other-service,Not-in-family,White,Female,full-time,United-States,<=50K
age5,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,full-time,India,<=50K
age2,Private,pre-college,low-education,Never-married,Craft-repair,Not-in-family,White,Male,full-time,Guatemala,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age1,Self-emp-not-inc,somecollege,average-education,Never-married,Craft-repair,Not-in-family,White,Female,part-time,United-States,<=50K
age5,Self-emp-not-inc,college,high-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age1,Private,pre-college,some-education,Never-married,Sales,Not-in-family,White,Female,part-time,United-States,<=50K
age1,Local-gov,somecollege,average-education,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age1,Private,college,high-education,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Male,full-time,United-States,<=50K
age4,Self-emp-not-inc,pre-college,some-education,Never-married,Craft-repair,Not-in-family,Black,Male,part-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Divorced,Exec-managerial,Own-child,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Adm-clerical,Unmarried,White,Female,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Sales,Not-in-family,White,Female,part-time,United-States,<=50K
age4,Self-emp-inc,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age6,Local-gov,somecollege,average-education,Widowed,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age3,Private,prof_doctorate,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Craft-repair,Not-in-family,White,Male,excessive-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Tech-support,Not-in-family,White,Male,full-time,United-States,<=50K
age3,State-gov,college,high-education,Married-civ-spouse,Exec-managerial,Wife,Black,Female,part-time,United-States,>50K
age4,Private,somecollege,average-education,Divorced,Other-service,Unmarried,White,Female,full-time,United-States,<=50K
age2,Self-emp-not-inc,college,high-education,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,extra-time,India,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,full-time,United-States,>50K
age3,Private,somecollege,average-education,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,full-time,Hong,<=50K
age4,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age4,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age1,Federal-gov,somecollege,average-education,Never-married,Adm-clerical,Other-relative,White,Male,part-time,United-States,<=50K
age6,Self-emp-inc,somecollege,average-education,Widowed,Sales,Not-in-family,White,Female,extra-time,United-States,>50K
age3,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
age1,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Transport-moving,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
age3,Private,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
age3,Self-emp-not-inc,pre-college,low-education,Married-civ-spouse,Transport-moving,Husband,White,Male,extra-time,Mexico,>50K
age4,Private,somecollege,average-education,Never-married,Handlers-cleaners,Other-relative,White,Male,part-time,United-States,<=50K
age3,Local-gov,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age5,Local-gov,pre-college,some-education,Widowed,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,full-time,India,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Divorced,Other-service,Own-child,White,Female,extra-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,Black,Male,full-time,United-States,>50K
age4,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Craft-repair,Not-in-family,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,extra-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age4,Federal-gov,college,high-education,Divorced,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Own-child,Black,Female,part-time,United-States,<=50K
age4,Local-gov,college,high-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,part-time,United-States,<=50K
age2,Private,pre-college,low-education,Never-married,Other-service,Unmarried,Black,Female,part-time,Trinadad&Tobago,<=50K
age7,Without-pay,somecollege,average-education,Married-spouse-absent,Farming-fishing,Unmarried,White,Female,part-time,United-States,<=50K
age4,Private,prof_doctorate,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age4,Private,pre-college,some-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,extra-time,United-States,<=50K
age4,Private,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,Poland,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,excessive-time,United-States,>50K
age2,Private,pre-college,low-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,Mexico,<=50K
age1,Private,somecollege,average-education,Never-married,Craft-repair,Other-relative,White,Male,part-time,Mexico,<=50K
age5,Private,pre-college,some-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
age5,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Craft-repair,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Priv-house-serv,Not-in-family,White,Female,part-time,United-States,<=50K
age5,Private,pre-college,low-education,Never-married,Handlers-cleaners,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Craft-repair,Own-child,Black,Male,extra-time,England,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Tech-support,Not-in-family,White,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Separated,Sales,Unmarried,White,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,>50K
age6,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Own-child,White,Male,part-time,United-States,<=50K
age5,State-gov,college,high-education,Widowed,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Female,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Separated,Craft-repair,Unmarried,Black,Male,full-time,United-States,<=50K
age6,Private,pre-college,low-education,Married-civ-spouse,Transport-moving,Husband,White,Male,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Transport-moving,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Handlers-cleaners,Other-relative,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Adm-clerical,Not-in-family,Black,Female,full-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age4,State-gov,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Other-relative,White,Male,part-time,United-States,<=50K
age2,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,Black,Male,extra-time,United-States,>50K
age5,Federal-gov,college,high-education,Widowed,Prof-specialty,Not-in-family,Black,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age2,Private,pre-college,low-education,Never-married,Transport-moving,Not-in-family,White,Male,full-time,Mexico,<=50K
age2,Private,college,high-education,Never-married,Prof-specialty,Own-child,White,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Widowed,Other-service,Not-in-family,White,Female,full-time,United-States,<=50K
age7,Local-gov,somecollege,average-education,Widowed,Protective-serv,Not-in-family,White,Male,part-time,United-States,<=50K
age4,Private,somecollege,average-education,Never-married,Tech-support,Not-in-family,White,Female,full-time,United-States,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Own-child,White,Male,part-time,United-States,<=50K
age4,Private,college,high-education,Divorced,Tech-support,Own-child,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age4,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Never-married,Farming-fishing,Unmarried,White,Male,full-time,United-States,<=50K
age2,Local-gov,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,part-time,Philippines,<=50K
age3,State-gov,college,high-education,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age3,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,Cuba,>50K
age1,Private,somecollege,average-education,Never-married,Machine-op-inspct,Other-relative,White,Female,full-time,United-States,<=50K
age3,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,Mexico,<=50K
age2,Private,college,high-education,Married-civ-spouse,Sales,Wife,White,Female,extra-time,United-States,>50K
age2,Private,college,high-education,Never-married,Prof-specialty,Own-child,White,Male,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Tech-support,Not-in-family,Black,Female,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,Peru,>50K
age3,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age2,Private,college,high-education,Never-married,Tech-support,Not-in-family,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,excessive-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
age2,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,>50K
age6,Private,somecollege,average-education,Never-married,Adm-clerical,Not-in-family,White,Male,extra-time,Guatemala,<=50K
age4,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Divorced,Machine-op-inspct,Unmarried,White,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Separated,Craft-repair,Unmarried,Black,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Divorced,Machine-op-inspct,Other-relative,White,Male,full-time,United-States,<=50K
age4,Private,pre-college,some-education,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age6,Local-gov,college,high-education,Divorced,Prof-specialty,Unmarried,White,Female,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Sales,Own-child,White,Female,part-time,United-States,<=50K
age4,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,excessive-time,United-States,<=50K
age4,Private,pre-college,low-education,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,full-time,United-States,<=50K
age2,Local-gov,somecollege,average-education,Never-married,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,full-time,United-States,<=50K
age1,Private,pre-college,some-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,Mexico,<=50K
age4,Private,somecollege,average-education,Never-married,Transport-moving,Not-in-family,White,Male,extra-time,United-States,<=50K
age6,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Sales,Other-relative,White,Male,extra-time,United-States,<=50K
age2,Local-gov,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,full-time,Philippines,>50K
age6,Private,somecollege,average-education,Separated,Transport-moving,Unmarried,Asian-Pac-Islander,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
age4,Private,somecollege,average-education,Divorced,Machine-op-inspct,Own-child,White,Male,full-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,>50K
age5,State-gov,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,>50K
